i275471615,c24498361,0743-4545 0743-4545 1,PB1012666,film and video makers travel sheet,
i275465883,c24495724,1041-617X 1,PB1011921,animation magazine,
i275457771,c24366675,0198-1056 1,PB1010601,cinefex,
i275478737,c24501499,0194-4339 0194-4339 1,PB1013175,filmmakers,
i275475931,c24500422,0896-6389 0896-6389 1,PB1012862,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275426701,c21926451,0300-7472,PB1009203,afterimage,
i27546555x,c24495724,1041-617X 1,PB1011888,animation magazine,
i275459640,c24373667,0048-4911 0048-4911 z,PB1010776,positif,
i275459317,c24373667,0048-4911 0048-4911 z,PB1010743,positif,
i275438132,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012019,the independent film & video monthly,
i275450922,c24357571,0019-3712 0019-3712 1,PB1014098,the independent film journal,
i275446827,c16330274,0036-9543 0036-9546 z,PB1007275,screen,"Screen (London, England)"
i275451343,c24357571,0019-3712 0019-3712 1,PB1014140,the independent film journal,
i275440175,c21349447,0731-5198,PB1013626,the independent,"Independent (New York, N.Y. : 1978)"
i275487155,c24502571,0306-0691,PB1014480,screen education,Screen education (1974)
i275473193,c24500331,0311-3639 0311-3639,PB1012763,cinema papers,
i275477757,c2450144x,0015-1610 0015-1610 1,PB1013253,filmmakers newsletter,
i27543848x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013699,the independent film & video monthly,
i275422628,c14643856,0015-1327 0160-7316,PB1012830,film library quarterly,
i275483903,c24501840,0885-5021 0885-5021 1,PB1014238,movietone news,
i275476480,c24501360,0015-5128,PB1013381,focus on film,
i275483678,c24501839,0164-9655 0164-9655 1,PB1014034,millimeter,
i27546202x,c24373679,0045-1150,PB1010949,l'avant-scène cinéma,
i275477289,c2450144x,0015-1610 0015-1610 1,PB1013314,filmmakers newsletter,
i275473442,c24500331,0311-3639 0311-3639,PB1012788,cinema papers,
i275477575,c2450144x,0015-1610 0015-1610 1,PB1013197,filmmakers newsletter,
i275438867,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009305,the independent film & video monthly,
i27543879x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013729,the independent film & video monthly,
i275473508,c24500331,0311-3639 0311-3639,PB1012794,cinema papers,
i275467363,c24497320,0006-8527 0006-8527 1,PB1012073,box office,
i27546331x,c24373643,0894-9263 0894-9263 1,PB1010985,premiere,"Premiere (New York, N.Y. : 1987)"
i275456997,c24364617,0008-011X 0757-8075,PB1011733,cahiers du cinéma,
i275466851,c24497307,0158-4154 0158-4154,PB1012180,cantrill's filmnotes,
i275470209,c24498294,1049-0434 1049-0434 1,PB1012463,entertainment weekly,
i275476157,c24501347,0015-1475,PB1012977,film world,"Film world (Bombay, India)"
i275463643,c24373643,0894-9263 0894-9263 1,PB1011018,premiere,"Premiere (New York, N.Y. : 1987)"
i275423281,c22834175,0738-7563,PB1014528,video networks,
i275472905,c24500331,0311-3639 0311-3639,PB1012736,cinema papers,
i275442020,c24884753,0195-6051 0195-6051 0047-2719 1,PB1007503,the journal of popular film and television,
i275432233,c1740910x,0199-7300 1,PB1008404,the film journal,
i275454848,c24358563,0037-4830,PB1011265,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275439215,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012056,the independent film & video monthly,
i275440771,c17414477,1077-9361 0742-533 0742-5333 1,PB1008090,international documentary,
i275426889,c21926451,0300-7472,PB1009221,afterimage,
i275457163,c24364617,0008-011X 0757-8075,PB1010566,cahiers du cinéma,
i275466930,c24497307,0158-4154 0158-4154,PB1012188,cantrill's filmnotes,
i275453868,c24358617,0090-4260,PB1010144,literature film quarterly,
i275467818,c2449737x,0826-9866,PB1012198,cineaction!,
i275460666,c24373679,0045-1150,PB1011645,l'avant-scène cinéma,
i275425617,c21926451,0300-7472,PB1011377,afterimage,
i275469414,c24497460,0009-7071 0009-7071 4,PB1012392,cinema canada,
i275461646,c24373679,0045-1150,PB1011729,l'avant-scène cinéma,
i275475840,c24500422,0896-6389 0896-6389 1,PB1012853,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275465767,c24495724,1041-617X 1,PB1011909,animation magazine,
i275451811,c24357571,0019-3712 0019-3712 1,PB1014187,the independent film journal,
i275487362,c24502674,0363-1001 0363-1001 1,PB1014485,videography,
i275479900,c24501621,0143-9685 z,PB1013441,"historical journal of film, radio, and television",
i275481244,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013836,main,"MAIN (Oakland, Calif.)"
i275425538,c21926451,0300-7472,PB1011369,afterimage,
i275441829,c17414477,1077-9361 0742-533 0742-5333 1,PB1008166,international documentary,
i275455087,c24358563,0037-4830,PB1011289,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275451641,c24357571,0019-3712 0019-3712 1,PB1014170,the independent film journal,
i275478506,c24501499,0194-4339 0194-4339 1,PB1013152,filmmakers,
i275456699,c24364617,0008-011X 0757-8075,PB1010540,cahiers du cinéma,
i275473296,c24500331,0311-3639 0311-3639,PB1012773,cinema papers,
i275478646,c24501499,0194-4339 0194-4339 1,PB1013166,filmmakers,
i275452736,c24357613,0027-0407,PB1010147,monthly film bulletin,
i275432968,c1740910x,0199-7300 1,PB1008477,the film journal,
i275470088,c24498294,1049-0434 1049-0434 1,PB1012451,entertainment weekly,
i275451422,c24357571,0019-3712 0019-3712 1,PB1014148,the independent film journal,
i275456341,c24364617,0008-011X 0757-8075,PB1010448,cahiers du cinéma,
i27545941x,c24373667,0048-4911 0048-4911 z,PB1010753,positif,
i27547754x,c2450144x,0015-1610 0015-1610 1,PB1013194,filmmakers newsletter,
i275462237,c24373679,0045-1150,PB1010970,l'avant-scène cinéma,
i275426397,c21926451,0300-7472,PB1011335,afterimage,
i275423980,c22834175,0738-7563,PB1014598,video networks,
i27543865x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013715,the independent film & video monthly,
i275471421,c24498361,0743-4545 0743-4545 1,PB1012647,film and video makers travel sheet,
i275450594,c24357571,0019-3712 0019-3712 1,PB1014065,the independent film journal,
i275474410,c24500380,0015-1025 0015-1025 z,PB1013025,film,"Film (London, England : 1954)"
i275477149,c2450144x,0015-1610 0015-1610 1,PB1013293,filmmakers newsletter,
i275423700,c22834175,0738-7563,PB1014570,video networks,
i275426579,c21926451,0300-7472,PB1011352,afterimage,
i275483241,c24501839,0164-9655 0164-9655 1,PB1013991,millimeter,
i275476364,c24501360,0015-5128,PB1013369,focus on film,
i275476819,c24501402,0306-7661 0306-7661,PB1013414,framework,
i275450776,c24357571,0019-3712 0019-3712 1,PB1014083,the independent film journal,
i275438302,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012035,the independent film & video monthly,
i275439070,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008932,the independent film & video monthly,
i275457904,c24370526,0015-1270 0015-1270 1,PB1010208,film heritage,
i275432427,c1740910x,0199-7300 1,PB1008423,the film journal,
i275460897,c24373679,0045-1150,PB1011670,l'avant-scène cinéma,
i27548404x,c24501840,0885-5021 0885-5021 1,PB1014252,movietone news,
i275427110,c21926451,0300-7472,PB1009244,afterimage,
i275422471,c14643856,0015-1327 0160-7316,PB1012816,film library quarterly,
i275423931,c22834175,0738-7563,PB1014593,video networks,
i275466334,c24496601,0847-5911,PB1011954,revue canadienne d'études cinématographiques,
i275433080,c1740910x,0199-7300 1,PB1008489,the film journal,
i275466449,c24497307,0158-4154 0158-4154,PB1012139,cantrill's filmnotes,
i275467314,c24497320,0006-8527 0006-8527 1,PB1012068,box office,
i275425848,c21926451,0300-7472,PB1011400,afterimage,
i275447340,c14756985,0160-6840,PB1007485,wide angle,
i275480926,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013803,main,"MAIN (Oakland, Calif.)"
i275441015,c17414477,1077-9361 0742-533 0742-5333 1,PB1008115,international documentary,
i275455853,c24364617,0008-011X 0757-8075,PB1010495,cahiers du cinéma,
i275423189,c22834175,0738-7563,PB1014518,video networks,
i275442275,c24884753,0195-6051 0195-6051 0047-2719 1,PB1015241,the journal of popular film and television,
i275475049,c24500380,0015-1025 0015-1025 z,PB1013088,film,"Film (London, England : 1954)"
i275463783,c24373643,0894-9263 0894-9263 1,PB1011068,premiere,"Premiere (New York, N.Y. : 1987)"
i275439689,c21349447,0731-5198,PB1013577,the independent,"Independent (New York, N.Y. : 1978)"
i27548029x,c24501670,0751-7033,PB1013740,iris,Collection  Iris  (Plon (Firm))
i275453108,c24357613,0027-0407,PB1007507,monthly film bulletin,
i27545650x,c24364617,0008-011X 0757-8075,PB1010464,cahiers du cinéma,
i275481748,c24501785,0025-6897 0025-6897 1,PB1013872,media and methods,
i275468665,c24497447,1027-5991 1027-5991,PB1012110,blimp,"Blimp (Graz, Austria)"
i27543333x,c1740910x,0199-7300 1,PB1008514,the film journal,
i275461257,c24373679,0045-1150,PB1010888,l'avant-scène cinéma,
i275461786,c24373679,0045-1150,PB1010925,l'avant-scène cinéma,
i275433079,c1740910x,0199-7300 1,PB1008488,the film journal,
i275426476,c21926451,0300-7472,PB1011342,afterimage,
i275463874,c24369780,0015-153X,PB1010185,filmfacts,
i275484956,c24501906,0146-0013,PB1014647,quarterly review of film studies,
i275440692,c21349447,0731-5198,PB1013678,the independent,"Independent (New York, N.Y. : 1978)"
i275481529,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013970,main,"MAIN (Oakland, Calif.)"
i275460782,c24373679,0045-1150,PB1011657,l'avant-scène cinéma,
i275461439,c24373679,0045-1150,PB1011708,l'avant-scène cinéma,
i275486801,c24502571,0306-0691,PB1014445,screen education,Screen education (1974)
i275439021,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008928,the independent film & video monthly,
i275440527,c21349447,0731-5198,PB1013661,the independent,"Independent (New York, N.Y. : 1978)"
i275424030,c22834175,0738-7563,PB1014603,video networks,
i275471639,c24498361,0743-4545 0743-4545 1,PB1012668,film and video makers travel sheet,
i275446591,c16330274,0036-9543 0036-9546 z,PB1007260,screen,"Screen (London, England)"
i27546717x,c24497320,0006-8527 0006-8527 1,PB1011998,box office,
i275457758,c24366675,0198-1056 1,PB1010609,cinefex,
i275475955,c24500422,0896-6389 0896-6389 1,PB1012864,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275459330,c24373667,0048-4911 0048-4911 z,PB1010745,positif,
i275459627,c24373667,0048-4911 0048-4911 z,PB1010774,positif,
i280538996,c22834175,0738-7563,PB1015893,video networks,
i275485602,c24501955,1079-6851 1079-6851 1,PB1014410,scenario,"Scenario (New York, N.Y.)"
i275469207,c24497460,0009-7071 0009-7071 4,PB1012306,cinema canada,
i275477770,c2450144x,0015-1610 0015-1610 1,PB1013255,filmmakers newsletter,
i275433535,c1740910x,0199-7300 1,PB1008534,the film journal,
i27546975x,c24498282,0145-6032 1,PB1012410,cinefantastique,
i275478713,c24501499,0194-4339 0194-4339 1,PB1013173,filmmakers,
i275482078,c24501785,0025-6897 0025-6897 1,PB1013950,media and methods,
i27543851x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013702,the independent film & video monthly,
i275483381,c24501839,0164-9655 0164-9655 1,PB1014005,millimeter,
i275422641,c14643856,0015-1327 0160-7316,PB1012832,film library quarterly,
i275474604,c24500380,0015-1025 0015-1025 z,PB1013044,film,"Film (London, England : 1954)"
i275473466,c24500331,0311-3639 0311-3639,PB1012790,cinema papers,
i27542618x,c21926451,0300-7472,PB1011434,afterimage,
i275433651,c1740910x,0199-7300 1,PB1008546,the film journal,
i275469761,c24498282,0145-6032 1,PB1012411,cinefantastique,
i275477551,c2450144x,0015-1610 0015-1610 1,PB1013195,filmmakers newsletter,
i275431873,c1740910x,0199-7300 1,PB1008365,the film journal,
i275451367,c24357571,0019-3712 0019-3712 1,PB1014142,the independent film journal,
i275438843,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012048,the independent film & video monthly,
i27545857x,c24373667,0048-4911 0048-4911 z,PB1010668,positif,
i275468719,c24497447,1027-5991 1027-5991,PB1012096,blimp,"Blimp (Graz, Austria)"
i275462006,c24373679,0045-1150,PB1010947,l'avant-scène cinéma,
i275483654,c24501839,0164-9655 0164-9655 1,PB1014032,millimeter,
i275466838,c24497307,0158-4154 0158-4154,PB1012178,cantrill's filmnotes,
i275466784,c24497307,0158-4154 0158-4154,PB1012173,cantrill's filmnotes,
i275474951,c24500380,0015-1025 0015-1025 z,PB1013079,film,"Film (London, England : 1954)"
i275423116,c22834175,0738-7563,PB1014511,video networks,
i275455993,c24364617,0008-011X 0757-8075,PB1010509,cahiers du cinéma,
i27547138x,c24498361,0743-4545 0743-4545 1,PB1012643,film and video makers travel sheet,
i275467260,c24497320,0006-8527 0006-8527 1,PB1012063,box office,
i27543221x,c1740910x,0199-7300 1,PB1008402,the film journal,
i275476601,c24501360,0015-5128,PB1013393,focus on film,
i275463667,c24373643,0894-9263 0894-9263 1,PB1011020,premiere,"Premiere (New York, N.Y. : 1987)"
i275441465,c17414477,1077-9361 0742-533 0742-5333 1,PB1008160,international documentary,
i275449920,c24144083,0732-538X 1,PB1009943,photoplay,
i275425484,c21926451,0300-7472,PB1011363,afterimage,
i275442044,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009099,the journal of popular film and television,
i275467788,c2449737x,0826-9866,PB1012195,cineaction!,
i275454861,c24358563,0037-4830,PB1011267,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275439239,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009784,the independent film & video monthly,
i275440758,c21349447,0731-5198,PB1013684,the independent,"Independent (New York, N.Y. : 1978)"
i275467119,c24497319,0147-4049 0147-4049 1,PB1012128,bright lights,
i275457102,c24364617,0008-011X 0757-8075,PB1010560,cahiers du cinéma,
i275461142,c24373679,0045-1150,PB1011695,l'avant-scène cinéma,
i275476716,c24501402,0306-7661 0306-7661,PB1013404,framework,
i27546992x,c24498294,1049-0434 1049-0434 1,PB1012435,entertainment weekly,
i275425988,c21926451,0300-7472,PB1011414,afterimage,
i275460642,c24373679,0045-1150,PB1011643,l'avant-scène cinéma,
i275460319,c24373679,0045-1150,PB1010853,l'avant-scène cinéma,
i275475384,c24500380,0015-1025 0015-1025 z,PB1013122,film,"Film (London, England : 1954)"
i275425678,c21926451,0300-7472,PB1011383,afterimage,
i275469438,c24497460,0009-7071 0009-7071 4,PB1012394,cinema canada,
i275481268,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013838,main,"MAIN (Oakland, Calif.)"
i275479924,c24501621,0143-9685 z,PB1013443,"historical journal of film, radio, and television",
i27545874x,c24373667,0048-4911 0048-4911 z,PB1010685,positif,
i275441805,c17414477,1077-9361 0742-533 0742-5333 1,PB1008157,international documentary,
i275470714,c24498361,0743-4545 0743-4545 1,PB1012576,film and video makers travel sheet,
i275469694,c24498282,0145-6032 1,PB1012404,cinefantastique,
i275451628,c24357571,0019-3712 0019-3712 1,PB1014168,the independent film journal,
i275451999,c24357571,0019-3712 0019-3712 1,PB1014205,the independent film journal,
i275459433,c24373667,0048-4911 0048-4911 z,PB1010755,positif,
i275453844,c24358617,0090-4260,PB1010142,literature film quarterly,
i275458817,c24373667,0048-4911 0048-4911 z,PB1010692,positif,
i275458210,c24373667,0048-4911 0048-4911 z,PB1010632,positif,
i275478270,c24501487,1063-8954 1063-8954 1,PB1013128,filmmaker,
i275481499,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013967,main,"MAIN (Oakland, Calif.)"
i275471925,c24499390,0360-3695 0885-1107,PB1012538,film & history,
i27547852x,c24501499,0194-4339 0194-4339 1,PB1013154,filmmakers,
i275474380,c24500367,0098-0471 0098-0471 1,PB1012802,film review digest,"Film review digest (Millwood, N.Y.)"
i275462250,c24373679,0045-1150,PB1010972,l'avant-scène cinéma,
i275426373,c21926451,0300-7472,PB1011452,afterimage,
i275478385,c24501499,0194-4339 0194-4339 1,PB1013140,filmmakers,
i275459299,c24373667,0048-4911 0048-4911 z,PB1010741,positif,
i275471408,c24498361,0743-4545 0743-4545 1,PB1012645,film and video makers travel sheet,
i275446785,c16330274,0036-9543 0036-9546 z,PB1007271,screen,"Screen (London, England)"
i275476832,c24501402,0306-7661 0306-7661,PB1013416,framework,
i275426518,c21926451,0300-7472,PB1011346,afterimage,
i275440035,c21349447,0731-5198,PB1013612,the independent,"Independent (New York, N.Y. : 1978)"
i275450715,c24357571,0019-3712 0019-3712 1,PB1014077,the independent film journal,
i275438673,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013717,the independent film & video monthly,
i275457928,c24370617,1549-0076,PB1009625,hollywood quarterly,
i275457291,c24364617,0008-011X 0757-8075,PB1010485,cahiers du cinéma,
i27542232x,c14643856,0015-1327 0160-7316,PB1008680,film library quarterly,
i275422185,c22828242,0039-9132,PB1010293,take one,
i275453832,c24358617,0090-4260,PB1010141,literature film quarterly,
i27542358x,c22834175,0738-7563,PB1014558,video networks,
i275423852,c22834175,0738-7563,PB1014585,video networks,
i275422458,c14643856,0015-1327 0160-7316,PB1012814,film library quarterly,
i275459998,c24373679,0045-1150,PB1010822,l'avant-scène cinéma,
i275466310,c24496601,0847-5911,PB1011952,revue canadienne d'études cinématographiques,
i275441258,c17414477,1077-9361 0742-533 0742-5333 1,PB1008140,international documentary,
i275425861,c21926451,0300-7472,PB1011401,afterimage,
i275447364,c14756985,0160-6840,PB1007487,wide angle,
i275456523,c24364617,0008-011X 0757-8075,PB1010466,cahiers du cinéma,
